# meta={"format": "probe_hits_points", "version": "1.0", "exported_at": "2025-09-19T15:10:16", "units": {"length": "m", "pressure": "kPa", "time": "ms", "impulse": "kPa·ms"}, "grid": {"origin": [30.0, 0.0, -24.0], "u_vec": [0.0, 0.0, 1.0], "v_vec": [0.0, 1.0, 0.0], "du": 6.0, "dv": 5.0, "nu": 9, "nv": 9}, "summary": {"unique_hit_cells": 8, "total_hits": 14}}
# columns=i,j,x,y,z,incident_peak_pressure_kpa,reflected_peak_pressure_kpa,incident_impulse,reflected_impulse,arrive_time_ms,constant_time_ms,friedlander_beta
i,j,x,y,z,incident_peak_pressure_kpa,reflected_peak_pressure_kpa,incident_impulse,reflected_impulse,arrive_time_ms,constant_time_ms,friedlander_beta
4,1,13.314431283569336,9.999999884033203,1.3314431283569335,254.33462943192254,1526.0077765915353,946.514838506094,0.0,14.685093086754327,16.468215145335446,4.029251026446015
4,1,14.283946353912352,9.999999290466308,1.9016051280975341,227.44952981395153,1364.697178883709,892.2808256690444,0.0,16.082903206532343,16.7688798804993,3.824263030384251
4,1,12.234586236190797,9.99999806365967,0.4078195412063599,288.9020503152215,1733.4123018913292,1012.9154058394117,0.0,13.24233677158656,16.278254248445673,4.312285565981394
4,1,10.894137986183166,9.999998643112182,1.0908959942626952,335.0480934876125,2010.288560925675,1095.242417807912,0.0,11.745358019987586,16.231193407138427,4.710022672733816
4,4,29.999998948199462,22.520409499401858,2.999999894819946,103.87772737031904,0.0,348.0312755122458,0.0,70.15110000110298,13.405671021984917,3.424863372479112
4,4,30.000000067657467,20.99259513934326,3.9938650396820066,100.38338076598302,0.0,321.63246842968294,0.0,67.21653790677595,12.468907714506496,3.250623575826613
4,4,29.99999855135193,24.507122848132326,0.999999951711731,107.488208212288,0.0,377.8284653992026,0.0,74.05278985551742,14.631287874322085,3.6654427310841853
3,1,13.314431283569336,9.999999884033203,-1.3314431283569335,254.33462943192254,1526.0077765915353,946.514838506094,0.0,14.685093086754327,16.468215145335446,4.029251026446015
3,4,29.999998948199462,22.520409499401858,-2.999999894819946,103.87772737031904,0.0,348.0312755122458,0.0,70.15110000110298,13.405671021984917,3.424863372479112
4,2,13.331424009704591,10.000000254058836,3.9925730003356934,239.8629884827348,1439.1779308964087,917.5789560524191,0.0,15.401643861309516,16.60880803663705,3.9167625971810325
4,2,17.134245196151735,10.000001264190674,1.711434479522705,170.97371870851305,1025.8423122510783,764.5722600756958,0.0,20.32413131909684,18.311393745154955,3.566443112951351
5,4,29.999999856579592,22.491719686871335,8.984575792523193,98.10941263114181,0.0,336.0927105161385,0.0,72.17271140719262,13.498198247674267,3.3292482076038774
4,3,30.000000434106447,17.502289451708982,2.996515722802734,92.21992963467115,0.0,251.81808106185844,0.0,59.94430865594629,10.27658038483477,3.0314766460086484
4,5,29.999998772941588,27.521202956411745,3.0040815097802733,109.68553431443897,0.0,410.19982075478447,0.0,80.64007348418325,16.47697191381503,4.003519271823743
