# meta={"format": "probe_hits_points", "version": "1.0", "exported_at": "2025-09-28T18:34:34", "units": {"length": "m", "pressure": "kPa", "time": "ms", "impulse": "kPa·ms"}, "grid": {"origin": [-25.0, 10, -25.0], "u_vec": [1.0, 0.0, 0.0], "v_vec": [0.0, 0.0, 1.0], "du": 5.0, "dv": 5.0, "nu": 10, "nv": 10}, "summary": {"unique_hit_cells": 72, "total_hits": 13563}, "context": {"charge_kg_tnt": 500, "n_rays_horizontal": 20000, "min_cos_to_normal": 0.08, "hemisphere": "+Y (horizontal plane focus)", "note": "only upward hemisphere rays; grazing filtered with dot(y)>=threshold"}}
# columns=i,j,x,y,z,incident_peak_pressure_kpa,reflected_peak_pressure_kpa,incident_impulse,reflected_impulse,arrive_time_ms,constant_time_ms,friedlander_beta
i,j,x,y,z,incident_peak_pressure_kpa,reflected_peak_pressure_kpa,incident_impulse,reflected_impulse,arrive_time_ms,constant_time_ms,friedlander_beta
5,5,0.0,9.999998626708985,0.0,830.1278440289235,4980.767064173541,1646.303632930632,0.0,5.602879825538111,17.67201174630366,8.898844611920625
5,5,0.012352737047089918,10.00000083478524,0.14075306737882678,829.9412052204377,4979.647231322626,1646.1721599422604,0.0,5.603926471752201,17.672182831967447,8.897627380014187
5,5,0.18852083078753085,10.000000911063925,0.11992152109763683,829.66188669091,4977.97132014546,1645.9753231874747,0.0,5.605493637297209,17.67243713504582,8.89580478798742
5,5,0.13395142789830286,10.00000003869441,0.2862464209235716,829.1966392273912,4975.179835364347,1645.6472542924455,0.0,5.608106077192192,17.672856088123872,8.892766547501715
5,5,0.3519737222228747,9.999999868626702,0.07738043546679871,828.9174832576839,4973.504899546104,1645.4502832280502,0.0,5.609674836889128,17.673104691676258,8.89094209388274
5,5,0.30064060779471485,9.999999855465337,0.29917755945664404,828.4522702757648,4970.713621654589,1645.1218237840726,0.0,5.612291264460129,17.67351436637243,8.887899213506733
5,5,0.1052477440360296,10.00000049665264,0.4678367743337224,827.9870572498834,4967.9223434993,1644.7931048483333,0.0,5.614910310753865,17.673918264991542,8.884853296756365
5,5,0.46288461729622,10.00000028052016,0.21386443380313622,827.7080996050909,4966.248597630545,1644.5958692327206,0.0,5.616482038027591,17.67415768720994,8.883025406181385
5,5,0.3011823550048894,9.999999871087304,0.46840776216640445,827.2432766449497,4963.459659869698,1644.267011032258,0.0,5.619103080862389,17.674552022678437,8.879977199077114
5,5,0.5812791734384712,10.000000357228021,0.04815779132715041,826.9643053115163,4961.785831869098,1644.0695166904732,0.0,5.620677403995779,17.67478592366917,8.878146314778776
5,5,0.00292806704024748,10.000000113332693,0.6002184995779231,826.7784542920161,4960.670725752097,1643.9378938619482,0.0,5.621726745026227,17.674940597489673,8.876925973751513
5,5,0.497694387812152,9.999999847511296,0.37773229622314597,826.4996956813593,4958.998174088156,1643.7403945166932,0.0,5.623301443402223,17.675170867670957,8.875094675142838
5,5,0.23073900057708796,9.999999987756118,0.6223788356550624,826.0350870993979,4956.210522596387,1643.41101369357,0.0,5.625928105816101,17.67555005985761,8.872040028377056
5,5,0.6556525658426623,10.00000042134675,0.20214469356554127,825.7563155915776,4954.5378935494655,1643.2132561197777,0.0,5.6275054028529095,17.675774820841692,8.870205753148934
5,5,0.46785882075241614,10.000000457111327,0.5496597398059583,825.291921333738,4951.751528002427,1642.8836121606614,0.0,5.630135065937223,17.67614464720007,8.867147702990298
5,5,0.10444536683036128,9.999999237777745,0.7486130444531104,824.8278815197656,4948.967289118594,1642.5539605673343,0.0,5.632765356177013,17.67650845862434,8.864088987857459
5,5,0.6748093196125192,9.999999615194154,0.38231998395491795,824.5493105405437,4947.295863243262,1642.3559405845092,0.0,5.634345630648993,17.676724109202084,8.862251350622568
5,5,0.3791136767288871,10.00000018957323,0.7128691501285257,824.0851332920463,4944.510799752277,1642.0257762015526,0.0,5.636980924125004,17.67707885939058,8.85918693725112
5,5,0.8146641844053919,10.000000311010652,0.1359194465422127,823.8067268224459,4942.840360934675,1641.8276240473635,0.0,5.638562802132515,17.677288885212473,8.857347513509435
5,5,0.6367338713026315,10.000000774471859,0.5719754477579941,823.3427653023633,4940.05659181418,1641.497197887796,0.0,5.641201102568686,17.67763431471102,8.854279744205257
5,5,0.2380518832543569,9.999999979973746,0.852284656342863,822.8791584460635,4937.274950676381,1641.1667649569472,0.0,5.6438400329296865,17.67797376864962,8.8512113407743
5,5,0.8369519327922961,10.000000039228494,0.3359624414110455,822.6009537198659,4935.605722319195,1640.9683517227095,0.0,5.645424894239391,17.67817473077445,8.849368601569722
5,5,0.5419515589786422,10.000000080429285,0.7551030913090127,822.1373874166073,4932.824324499644,1640.637532604678,0.0,5.648067835283259,17.67850502590813,8.84629570896078
5,5,0.945166037555045,9.999998930984452,0.029851645560709072,821.8595230940224,4931.157138564135,1640.439113287354,0.0,5.649653302336343,17.678700273449593,8.844452376089862
5,5,0.05348953675669321,9.99999981157505,0.9547784742155283,821.6740003933684,4930.0440023602105,1640.306581986584,0.0,5.6507124087208,17.67882949487232,8.843221037744433
5,5,0.8032694902026484,9.999999804879923,0.5473408891843068,821.3959981846089,4928.375989107653,1640.1079084953478,0.0,5.65230025701723,17.679021421989763,8.84137501183118
5,5,0.39414416063113566,9.999999417954907,0.9165730600142221,820.9328281535602,4925.596968921362,1639.7766977950082,0.0,5.6549478443971735,17.67933663456704,8.838297044239901
5,5,0.981862225915142,10.00000104751293,0.24859643533079456,820.6546412595001,4923.927847557001,1639.5776429218267,0.0,5.656539304723627,17.67952322301047,8.836446950011025
5,5,0.711988121582384,10.000000539799023,0.754731402092274,820.1916888975175,4921.150133385105,1639.2461726562526,0.0,5.659189908716363,17.679829194259096,8.833365703867582
5,5,0.20021525683655939,9.999999718644379,1.0426847756326914,819.7289163221214,4918.373497932729,1638.9145717484373,0.0,5.661842148405897,17.68012937412216,8.830282709367538
5,5,0.9620329174678717,10.000000326813828,0.48190003555034994,819.4511085232323,4916.706651139393,1638.7153832159029,0.0,5.6634356006044,17.68030685244437,8.828430538746288
5,5,0.5650730871325834,9.999999381532264,0.9429844749962236,818.9885541070414,4913.931324642248,1638.3835235929614,0.0,5.6660908601657285,17.680597825705643,8.82534429565593
5,5,1.1058587420434183,9.999999724519306,0.12687700878844396,818.7109124839593,4912.265474903756,1638.1842050399996,0.0,5.667685924895103,17.68076976008982,8.823490413990339
5,5,0.8825481641484236,10.00000054801057,0.714831592036577,818.2482279648407,4909.489367789044,1637.8518366614007,0.0,5.670346212256787,17.681051756813485,8.820398609551525
5,5,0.36803693914005886,9.99999915905753,1.0978689531067767,817.7860726681809,4906.716436009085,1637.5195890571129,0.0,5.673006133369513,17.68132778236006,8.817307417543182
5,5,1.107606300043307,10.000000370789948,0.3801708614533639,817.508462098921,4905.050772593526,1637.3198876251008,0.0,5.674605200591518,17.681490874295058,8.815449175906549
5,5,0.7439480014780268,9.999999798604433,0.9321033543945668,817.0463521328016,4902.27811279681,1636.9872573888981,0.0,5.6772691510061035,17.681757842913978,8.812353617016127
5,5,0.1296881782359358,9.99999985377725,1.2068341383734273,816.5842491512767,4899.50549490766,1636.6543726100242,0.0,5.679935746642058,17.68201917021762,8.809255192033802
5,5,1.047367050987887,10.000000035966764,0.6378901834089179,816.3070187129737,4897.842112277842,1636.4545396917185,0.0,5.681536813700011,17.68217324452584,8.807394950708034
5,5,0.5504601324435752,9.999999956378662,1.1188964582747332,815.8451362236978,4895.070817342186,1636.121398409121,0.0,5.6842064396637575,17.68242543913515,8.804293353731326
5,5,1.23487229059863,9.99999986771113,0.24632700037011585,815.5680729629227,4893.408437777536,1635.9214368028104,0.0,5.6858091248179266,17.682574020495956,8.802431447939872
5,5,0.9242667655718713,9.999999651120863,0.884552578931138,815.106411364668,4890.638468188008,1635.5880395392235,0.0,5.68848178331081,17.68281710238906,8.799326697205569
5,5,0.30982184146564656,9.999999111314207,1.2616921383069202,814.6449313616897,4887.869588170139,1635.254513875863,0.0,5.691156087091668,17.683054476761722,8.796220276370526
5,5,1.2005630040237838,9.999998934570447,0.5265133464891206,814.3680751250847,4886.208450750508,1635.0542968375903,0.0,5.6927617809529405,17.683194193412962,8.794355251744287
5,5,0.7411904530153932,9.99999919951442,1.104726692891659,813.9066435432168,4883.4398612593,1634.7203907495007,0.0,5.6954401259044465,17.6834225728589,8.791244539475745
5,5,1.3391651870213428,10.00000063885259,0.08467549565731296,813.6296090584221,4881.777654350533,1634.5197952589692,0.0,5.69704945177975,17.68355699565819,8.78937554427316
5,5,0.03291204141145738,9.99999913871464,1.3490575706110737,813.4453940990098,4880.672364594059,1634.3863567917454,0.0,5.698120118636328,17.68364526291741,8.788132175416782
5,5,1.0998142856620354,9.999999814932153,0.8013863384752306,813.1685728493358,4879.011437096015,1634.1857598535237,0.0,5.699729830573891,17.68377622459031,8.786262892917563
5,5,0.5046986130567087,9.999999609118944,1.2839034521384685,812.707545988944,4876.245275933665,1633.8514716116817,0.0,5.702412863733793,17.683989860667022,8.78314743376126
5,5,1.3366748959879324,10.000000008423273,0.38371628200920976,812.4308931163221,4874.585358697932,1633.6507473182583,0.0,5.704024199733666,17.684115377590583,8.781276533013587
5,5,0.9340407953669325,9.999999655355388,1.0549337154343241,811.9700892323806,4871.820535394283,1633.3162053159033,0.0,5.706710275528979,17.68431997993228,8.778157996971634
5,5,0.22474436146248472,9.99999897315804,1.409335128117893,811.5094679677311,4869.056807806386,1632.9815363036732,0.0,5.7093980024310484,17.68451892872696,8.775037839226146
5,5,1.2646691664112297,10.000000217936922,0.6842643647714107,811.2328520640701,4867.39711238442,1632.780433444864,0.0,5.711013363929213,17.684635726690615,8.773162725941518
