# meta={"format": "probe_hits_cells", "version": "1.0", "exported_at": "2026-01-12T23:48:34", "units": {"length": "m", "pressure": "kPa", "time": "ms", "impulse": "kPa·ms"}, "grid": {"origin": [-50.0, 10, -50.0], "u_vec": [1.0, 0.0, 0.0], "v_vec": [0.0, 0.0, 1.0], "du": 1.0, "dv": 1.0, "nu": 100, "nv": 100}, "summary": {"unique_hit_cells": 6426, "total_hits": 167976}, "context": {"charge_kg_tnt": 500, "n_rays_horizontal": 200000, "min_cos_to_normal": 0.08, "hemisphere": "+Y (horizontal plane focus)", "note": "only upward hemisphere rays; grazing filtered with dot(y)>=threshold", "house_centers": [[-20, -20], [-20, 0], [-20, 20], [20, -20], [20, 0], [20, 20]], "house_size": 10.0}, "aggregation": {"Pmax_inc_kPa": "max over incident_peak_pressure_kpa within cell", "t_first_ms": "min over arrive_time_ms within cell", "hits": "count of hits within cell"}}
# columns=i,j,hits,Pmax_inc_kPa,t_first_ms
i,j,hits,Pmax_inc_kPa,t_first_ms
48,46,283,743.4155970722545,6.139161625706505
46,48,283,743.3888239563581,6.139344356852924
53,52,277,721.7158125330164,6.291223472139882
47,46,271,721.6373603904144,6.291788006415395
47,53,270,721.4020739106927,6.293481762557226
53,47,271,721.3238152089817,6.294045341646519
46,47,269,721.0885217372246,6.29574046180593
52,53,273,721.0103095392363,6.296304142909139
52,46,267,720.7751558766397,6.297999569869816
46,52,276,720.6968435069573,6.298564410761266
50,45,265,701.7285067816475,6.4386823140034
45,50,263,701.5650907813801,6.4399187927017465
54,50,269,701.4192478601216,6.441022739638829
45,49,268,701.2730226749205,6.44212999132091
49,45,267,701.2560717310497,6.442258374520799
49,54,260,701.1098931287144,6.443365733036048
54,49,263,700.9468155470117,6.444601593968244
50,54,265,700.6376050282618,6.4469463122731465
51,45,259,694.3915252856735,6.49470846132646
54,51,260,694.0839012815952,6.49708059114239
48,54,259,693.7761856032168,6.49945530547041
45,51,265,693.2209607549348,6.503744864837035
48,45,255,692.9133523118824,6.506124028092983
45,48,261,692.7084302322303,6.507710021355139
54,48,264,692.606069774285,6.508502553119492
51,54,255,692.2985575913015,6.510884741620042
53,46,258,686.6930704096557,6.554641899079167
53,53,253,686.3869564488288,6.557049821763418
46,53,254,684.1023121324113,6.575081774401391
46,46,254,683.796961946287,6.5774999481782865
54,47,250,673.9980382715648,6.656138097532639
52,54,248,673.6948477090696,6.658603800546118
45,52,247,673.3917107175195,6.661071048924223
47,45,247,673.0884938680807,6.663540931405384
47,54,250,672.9708641590354,6.664499630467767
45,47,253,672.667773980983,6.666971237934435
52,45,246,672.3647378320251,6.669444392990988
54,52,242,672.0620223270238,6.671916918542104
45,53,235,644.2165931543382,6.9081971057567255
49,55,241,644.1918260349203,6.9084153707715465
55,49,241,644.0352075028422,6.909795948901793
44,49,240,643.8952253556951,6.911030386364097
55,50,241,643.7552850841372,6.912264933717911
50,55,236,643.7388316631539,6.912410116615154
50,44,234,643.5988126144564,6.913645895150628
44,50,241,643.4425180081932,6.915025885571596
49,44,237,643.1462666304019,6.917643256371166
54,53,233,642.9814710738029,6.919100151736355
46,54,232,642.6853865248312,6.92171939976287
54,46,234,641.7069620565451,6.930390170189362
53,54,236,641.4109352681553,6.933018205856831
46,45,229,640.8194454869287,6.938275766111485
45,46,238,640.4744655424207,6.9413461843339945
53,45,231,640.1787226597419,6.943980731455225
44,48,238,637.5950094185804,6.967089857516152
51,44,234,637.3001048769518,6.969738167220724
55,51,235,637.0053881707228,6.972386977897439
48,44,230,636.7839788919165,6.974378367486858
55,48,234,636.4893435529697,6.977030282478645
51,55,232,636.1947723859607,6.979683812838087
48,55,227,635.9820266647561,6.981601615620256
44,51,235,635.9001419847594,6.982340073010505
52,55,221,620.6909585126463,7.122513429111119
44,52,227,620.3999723406434,7.125255064970915
47,44,226,620.1089357646227,7.12799947498899
55,52,227,619.6727935587923,7.132116510305865
47,55,227,619.3821083940935,7.1348633568540265
44,47,226,619.0914923217623,7.1376118541657565
52,44,224,618.0826445641458,7.147170936868748
55,47,230,617.9376741918763,7.148546858501038
54,54,218,604.3358135695498,7.280262610222661
45,54,218,602.192626293954,7.3015009214659905
45,45,216,601.9061051399707,7.3043504980663245
54,45,215,601.6197723917198,7.30720062427397
46,44,213,593.2717002463997,7.391376344390822
44,46,210,593.0427318277808,7.393714923164699
55,46,212,592.9874432383588,7.394279857529158
53,44,211,592.7582903449096,7.39662232778351
53,55,214,592.703262573836,7.39718507941956
55,53,218,592.4741495990826,7.39952914996726
44,53,213,590.5813034395256,7.418957178230636
46,55,211,590.3527674389783,7.4213103886872025
43,49,218,584.6150433449645,7.48092979667665
50,56,210,584.4660815834869,7.482491558531323
50,43,210,584.3328850431946,7.483888635778578
49,56,205,584.199620692443,7.485286994323728
43,50,216,584.1841326785019,7.485449548881438
56,50,213,584.0509153077774,7.486848051022541
49,43,208,583.9019330367205,7.488412727303199
56,49,215,583.6198124696335,7.491377636477816
51,56,203,579.5305894429488,7.534642498025196
43,51,215,579.2496534315125,7.53763490882642
51,43,200,579.0310731528682,7.539964928933686
48,43,204,578.9687976184822,7.540629061090047
56,51,215,578.7505810391826,7.542957221863389
56,48,213,578.6880220665273,7.543624955452465
48,56,208,578.4697354050862,7.545955885937307
43,48,213,577.495342441291,7.556379960757631
43,52,203,565.5854370779017,7.686384306469759
52,43,202,565.0077967139478,7.692814176989395
56,47,206,563.2372804751496,7.712595753648588
52,56,195,562.9605604758178,7.715697540263516
56,52,211,562.9373959596733,7.715957317757875
47,56,196,562.6608804732324,7.71905976659879
47,43,196,562.4072696470976,7.721907629099365
43,47,204,562.3841367341147,7.722167509005066
55,45,199,560.2809320685859,7.745875545773011
54,55,199,558.2195729009247,7.769266921707947
45,55,197,558.0436729025267,7.771270114448067
44,54,201,557.9442090492258,7.772403333616361
44,45,202,557.7683265582207,7.774408096520494
45,44,194,557.6687248984995,7.7755438887543
54,44,199,557.4926542042042,7.7775525721861145
55,54,194,555.4371241693091,7.801087143219612
43,53,195,542.8466348226865,7.959919546746826
46,56,186,541.384275237408,7.977186567022364
43,46,193,541.1130822201042,7.980398071413734
56,46,195,540.5484819727939,7.987093570250978
53,56,189,540.2774773859429,7.990311900033884
46,43,188,539.7357402000147,7.9967541626182905
53,43,187,539.0892274893324,8.004457851808484
56,53,192,538.8185536725265,8.007688141304989
50,42,182,526.2801662314915,8.160640036206937
42,50,193,526.1391994164132,8.1623973942801
57,50,194,526.0130009236493,8.163971371805037
49,42,184,525.872039005671,8.165730296286235
49,57,181,525.7458350103328,8.16730580055223
57,49,195,525.6048781077252,8.169066292174621
42,49,192,525.478953151109,8.17063976916816
50,57,180,525.3380012755923,8.172401828257287
57,48,188,521.999851654066,8.214385877990843
51,57,177,521.7339294456083,8.21775144246164
